i0,i1,i2,i3,When
3,2,0,1,Before class
2,3,0,1,Before class
0,3,1,2,Before class
3,1,0,2,Before class
3,0,2,1,Before class
3,1,2,0,Before class
1,3,0,2,Before class
1,2,3,0,Before class
1,3,2,0,Before class
0,3,2,1,Before class
2,3,1,0,Before class
0,1,2,3,Before class
0,2,1,3,Before class
0,3,2,1,Before class
0,3,1,2,Before class
0,2,3,1,Before class
0,2,1,3,Before class
3,2,1,0,Before class
1,2,3,0,Before class
3,0,1,2,Before class
1,2,0,3,Before class
0,2,1,3,Before class
2,0,1,3,Before class
1,2,3,0,Before class
2,3,1,0,Before class
1,0,3,2,Before class
1,2,0,3,Before class
0,3,1,2,Before class
3,0,1,2,Before class
1,3,0,2,Before class
1,0,2,3,Before class
3,0,1,2,Before class
2,0,1,3,Before class
0,1,3,2,Before class
3,0,2,1,Before class
0,2,1,3,Before class
2,0,1,3,Before class
2,1,3,0,Before class
1,0,2,3,Before class
2,0,3,1,Before class
3,1,0,2,Before class
1,0,2,3,Before class
1,2,0,3,Before class
1,2,0,3,Before class
1,2,0,3,Before class
0,2,1,3,Before class
2,1,0,3,Before class
0,2,1,3,Before class
1,3,0,2,Before class
1,2,0,3,Before class
0,3,1,2,Before class
1,0,3,2,Before class
3,2,1,0,Before class
1,3,0,2,Before class
2,1,3,0,Before class
0,2,1,3,Before class
0,3,1,2,Before class
0,1,3,2,Before class
3,1,2,0,Before class
3,2,0,1,Before class
1,2,0,3,Before class
2,0,1,3,Before class
2,1,0,3,Before class
1,2,0,3,Before class
2,1,3,0,Before class
2,0,3,1,Before class
3,1,0,2,Before class
0,1,3,2,Before class
3,1,2,0,Before class
2,1,0,3,Before class
2,1,0,3,Before class
2,1,3,0,Before class
3,1,0,2,Before class
1,0,3,2,Before class
0,2,1,3,Before class
2,1,3,0,Before class
1,0,3,2,Before class
2,1,0,3,Before class
0,2,1,3,Before class
0,2,1,3,Before class
3,2,0,1,Before class
1,2,0,3,Before class
2,0,3,1,Before class
0,2,1,3,Before class
3,2,0,1,Before class
1,3,0,2,Before class
1,2,0,3,Before class
0,1,2,3,Before class
3,2,1,0,Before class
1,3,2,0,Before class
3,0,2,1,Before class
1,3,2,0,Before class
3,0,1,2,Before class
2,0,3,1,Before class
3,1,2,0,Before class
2,0,1,3,Before class
3,0,1,2,Before class
2,0,3,1,Before class
3,1,0,2,Before class
1,2,0,3,Before class
2,1,3,0,Before class
3,0,2,1,Before class
2,3,1,0,Before class
3,1,0,2,Before class
2,1,3,0,Before class
0,2,1,3,Before class
1,3,0,2,Before class
3,1,2,0,Before class
3,1,0,2,Before class
1,3,0,2,Before class
1,2,0,3,Before class
1,3,0,2,Before class
2,3,0,1,Before class
2,1,3,0,Before class
0,2,1,3,Before class
1,2,0,3,Before class
2,3,1,0,Before class
3,1,2,0,Before class
0,2,3,1,Before class
3,1,2,0,Before class
0,3,1,2,Before class
0,3,1,2,Before class
0,3,1,2,Before class
3,0,2,1,Before class
3,1,2,0,Before class
1,2,0,3,Before class
2,1,3,0,Before class
3,1,0,2,Before class
0,1,2,3,Before class
3,1,0,2,Before class
3,0,1,2,Before class
3,1,2,0,Before class
0,3,1,2,Before class
3,0,1,2,Before class
2,0,1,3,Before class
2,1,0,3,Before class
2,0,3,1,Before class
1,2,0,3,Before class
2,3,1,0,Before class
1,2,0,3,Before class
1,3,0,2,Before class
2,1,0,3,Before class
3,2,1,0,Before class
0,2,1,3,Before class
2,1,0,3,Before class
3,1,0,2,Before class
1,2,0,3,Before class
2,1,3,0,Before class
1,3,0,2,Before class
3,1,0,2,Before class
0,3,1,2,Before class
0,3,1,2,Before class
0,3,1,2,Before class
3,1,2,0,Before class
1,2,0,3,Before class
2,0,3,1,Before class
0,2,3,1,Before class
1,0,2,3,Before class
2,1,3,0,Before class
2,0,3,1,Before class
2,3,1,0,Before class
0,2,1,3,Before class
1,3,2,0,Before class
3,0,2,1,Before class
1,3,0,2,Before class
1,2,0,3,Before class
0,2,3,1,Before class
2,3,1,0,Before class
2,0,1,3,Before class
0,3,1,2,After class
3,1,0,2,After class
0,1,2,3,After class
0,2,1,3,After class
0,2,1,3,After class
1,2,0,3,After class
0,3,1,2,After class
0,2,1,3,After class
0,2,1,3,After class
0,2,1,3,After class
0,1,2,3,After class
0,1,2,3,After class
0,2,1,3,After class
1,2,0,3,After class
1,0,3,2,After class
2,0,1,3,After class
0,2,1,3,After class
0,1,2,3,After class
1,3,0,2,After class
0,2,1,3,After class
0,2,1,3,After class
0,3,1,2,After class
0,3,1,2,After class
0,2,1,3,After class
0,3,1,2,After class
1,0,2,3,After class
0,2,1,3,After class
3,0,1,2,After class
0,1,2,3,After class
0,1,2,3,After class
0,3,2,1,After class
0,1,2,3,After class
2,0,1,3,After class
0,2,1,3,After class
0,2,1,3,After class
1,2,0,3,After class
0,2,1,3,After class
0,2,1,3,After class
